id,name,address,lat,lon
329,LC001 - Barrio El Golf,Avenida El Golf 180,-33.4138,-70.59254
330,LC002 - Hendaya,Hendaya 27,-33.41634,-70.59273
331,LC003 - Ómnium,5000 Avenida Apoquindo,-33.4115,-70.57697
332,LC004 - Plaza Valenzuela Llanos,84 Las Tranqueras,-33.40081,-70.55517
333,LC005 - Corporación Cultural De Las Condes,Apoquindo 6510,-33.40705,-70.56152
334,LC006 - Parque Titanium,2730 Avenida Costanera Sur,-33.41364,-70.60578
335,LC007 - Centro Cívico De Las Condes,3320 Reyes Lavalle,-33.41554,-70.59569
336,LC008 - San Crescente,78 San Crescente,-33.41728,-70.59541
337,LC009 - Municipalidad De Las Condes,5000 Avenida Presidente Riesco,-33.40549,-70.57917
338,LC010 - Metro Manquehue - Norte,Av. Apoquindo 6140,-33.40852,-70.56696
339,LC011 - Metro Hernando De Magallanes,Pehuen 7100,-33.40833,-70.55652
340,LC012 - Metro Los Dominicos,Apoquindo 8379,-33.40797,-70.54575
341,LC013 - Rotonda Atenas,7550 Avenida Cristóbal Colón,-33.41797,-70.55255
342,LC014 - Parque Araucano,Av Presidente Riesco 5689,-33.40373,-70.57343
343,LC015 - Isidora Goyenechea / El Bosque Norte,Isidora Goyenechea 2887,-33.41403,-70.60233
344,LC016 - Plaza Juan Pablo II,Isabel La Católica 4300,-33.42734,-70.57879
345,LC017 - Sánchez Fontecilla / Cristóbal Colón,Mariano Sánchez Fontecilla 1070,-33.42618,-70.5906
346,LC018 - Fiscalía Local De Las Condes,Los Militares 5620,-33.40663,-70.57264
347,LC019 - Metro Alcántara,Alcántara 79,-33.41582,-70.58956
348,LC020 - Manquehue Sur / Cristóbal Colón,Av Manquehue Sur 1022,-33.41695,-70.56465
349,LC021 - Parque Juan Pablo II,Av Presidente Riesco 6161,-33.40189,-70.56911
350,LC022 - Tobalaba / Apoquindo,Av. Tobalaba 32,-33.41827,-70.60119
351,LC023 - Plaza Don Raúl Simón Bernal,Av. Cristóbal Colón 4275,-33.42358,-70.58067
352,LC024 - Américo Vespucio / Pdte Kennedy,Cerro La Parva 23100,-33.40595,-70.58616
353,LC025 - Noruega,Noruega 6749,-33.40302,-70.56261
354,LC026 - Alcántara / Vaticano,Alcántara 1251,-33.42732,-70.58446
355,LC027 - IV Centenario / El Galeón,IV Centenario 755,-33.41466,-70.55761
356,LC028 - Mar De Coral,Gerónimo de Alderete 601,-33.39828,-70.56019
357,LC029 - Málaga / Rapallo,Málaga 701,-33.42088,-70.58455
358,LC030 - Martín de Zamora / Algeciras,Martín de Zamora 4621,-33.41916,-70.57765
359,LC031 - Presidente Errázuriz / Enrique Foster,Presidente Errázuriz 3494,-33.42074,-70.59233
360,LC032 - Padre Hurtado / Pdte Kennedy Lateral,Avenida Padre Hurtado Norte 611,-33.39028,-70.54789
361,LC033 - Vitacura / San Patricio,Av. Vitacura 2949,-33.41128,-70.60241
362,LC034 - Zurich,Zurich 287,-33.41527,-70.60374
363,LC035 - Escuela Militar,Los Militares esquina Américo Vespucio Norte,-33.41376,-70.58409
364,LC036 - Las Condes / Valle Alegre,Av. las Condes 11113,-33.37828,-70.52837
365,LC037 - Manquehue Sur / Isabel La Católica,Av. Manquehue Sur 1564,-33.42513,-70.56365
366,LC038 - Plaza Brasilia,Av. Presidente Kennedy Lateral 6350,-33.39694,-70.56747
367,LC039 Tomás Moro / Apoquindo,Tomás Moro 28,-33.40849,-70.55205
368,LC040 - Manquehue Sur / Alonso de Camargo,Av. Manquehue Sur 1269,-33.42072,-70.56438
369,LC041 - Gertrudis Echeñíque / Callao,Gertrudis Echeñique 234,-33.41818,-70.59125
370,LC042 - Padre Hurtado / Las Condes,Av. Padre Hurtado Central 97,-33.39441,-70.54496
371,LC043 - Las Condes / Estoril,Av. Las Condes 10251,-33.38419,-70.534
372,LC044 - Lat. Kennedy / Gerónimo de Alderete,Av. Presidente Kennedy Lateral 7107,-33.39476,-70.56061
373,LC045 - Cristóbal Colón / Padre Hurtado,Av Cristóbal Colón 8909,-33.41659,-70.53903
