id,system,brand,name,address.str,address.lat,address.lon
354,11,bike_itau,LC026 - Alcántara / Vaticano,Alcántara 1251,"-33,42732","-70,58446"
355,11,bike_itau,LC027 - IV Centenario / El Galeón,IV Centenario 755,"-33,41466","-70,55761"
356,11,bike_itau,LC028 - Mar De Coral,Gerónimo de Alderete 601,"-33,39828","-70,56019"
357,11,bike_itau,LC029 - Málaga / Rapallo,Málaga 701,"-33,42088","-70,58455"
358,11,bike_itau,LC030 - Martín de Zamora / Algeciras,Martín de Zamora 4621,"-33,41916","-70,57765"
359,11,bike_itau,LC031 - Presidente Errázuriz / Enrique Foster,Presidente Errázuriz 3494,"-33,42074","-70,59233"
360,11,bike_itau,LC032 - Padre Hurtado / Pdte Kennedy Lateral,Avenida Padre Hurtado Norte 611,"-33,39028","-70,54789"
361,11,bike_itau,LC033 - Vitacura / San Patricio,Av. Vitacura 2949,"-33,41128","-70,60241"
362,11,bike_itau,LC034 - Zurich,Zurich 287,"-33,41527","-70,60374"
363,11,bike_itau,LC035 - Escuela Militar,Los Militares esquina Américo Vespucio Norte,"-33,41376","-70,58409"
364,11,bike_itau,LC036 - Las Condes / Valle Alegre,Av. las Condes 11113,"-33,37828","-70,52837"
365,11,bike_itau,LC037 - Manquehue Sur / Isabel La Católica,Av. Manquehue Sur 1564,"-33,42513","-70,56365"
366,11,bike_itau,LC038 - Plaza Brasilia,Av. Presidente Kennedy Lateral 6350,"-33,39694","-70,56747"
367,11,bike_itau,LC039 Tomás Moro / Apoquindo,Tomás Moro 28,"-33,40849","-70,55205"
368,11,bike_itau,LC040 - Manquehue Sur / Alonso de Camargo,Av. Manquehue Sur 1269,"-33,42072","-70,56438"
369,11,bike_itau,LC041 - Gertrudis Echeñíque / Callao,Gertrudis Echeñique 234,"-33,41818","-70,59125"
370,11,bike_itau,LC042 - Padre Hurtado / Las Condes,Av. Padre Hurtado Central 97,"-33,39441","-70,54496"
371,11,bike_itau,LC043 - Las Condes / Estoril,Av. Las Condes 10251,"-33,38419","-70,53400"
372,11,bike_itau,LC044 - Lat. Kennedy / Gerónimo de Alderete,Av. Presidente Kennedy Lateral 7107,"-33,39476","-70,56061"
373,11,bike_itau,LC045 - Cristóbal Colón / Padre Hurtado,Av Cristóbal Colón 8909,"-33,41659","-70,53903"
374,11,bike_itau,LC046 - Padre Hurtado / Gral. Blanche,Av. Padre Hurtado Sur 238,"-33,40937","-70,54197"
375,11,bike_itau,LC047 - Apoquindo / Luiz Zegers,Av. Apoquindo 5285,"-33,41092","-70,57373"
376,11,bike_itau,LC048 - Latadia / Américo Vespucio,Latadia 4454,"-33,42817","-70,57404"
377,11,bike_itau,LC049 - Presidente Riesco / Américo Vespucio,Presidente Riesco Esquina Américo Vespucio Norte,"-33,41065","-70,58663"
378,11,bike_itau,LC050 - IV Centenario / Apoquindo,IV Centenario 8,"-33,40885","-70,56529"
